Date,Description,Original Description,Category,Amount,Status
2022-10-10,"SCOTCH PINE LIQUOR,              101022","SCOTCH PINE LIQUOR,              101022",Category Pending,-3.23,Pending
2022-10-11,"APPLE.COM/BILL                   101122","APPLE.COM/BILL                   101122",Category Pending,-7.26,Pending
2022-10-11,"PARKMOBILE                       101122","PARKMOBILE                       101122",Category Pending,-1.76,Pending
2022-10-12,"APPLE.COM/BILL  www.             101222","APPLE.COM/BILL  www.             101222",Category Pending,-15.99,Pending
2022-10-12,"Wal-Mart Super Cente             101222","Wal-Mart Super Cente             101222",Category Pending,-20.12,Posted
2022-10-12,"USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR",Category Pending,150.00,Posted
2022-10-12,"BIG D #51 1000 35TH              101222","BIG D #51 1000 35TH              101222",Category Pending,-0.53,Posted
2022-10-11,"Shell","SHELL SERVICE STATION    GREELEY      CO",Gas,-24.26,Posted
2022-10-11,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-23.47,Posted
2022-10-11,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,-20.00,Posted
2022-10-11,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol Bars,-12.70,Posted
2022-10-11,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-11.00,Posted
2022-10-11,"McDonald's","MCDONALD'S F36634        GREELEY      CO",Fast Food,-10.04,Posted
2022-10-11,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-9.99,Posted
2022-10-11,"Chick-fil-A","CHICK-FIL-A #03676       TIMNATH      CO",Fast Food,-9.28,Posted
2022-10-11,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-9.00,Posted
2022-10-11,"Sugar Shack","SQ *SUGAR SHACK          ESTES PARK   CO",Groceries,-8.34,Posted
2022-10-11,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-7.99,Posted
2022-10-11,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-7.00,Posted
2022-10-11,"King Soopers","KING SOOPERS #01 1520 MAIWINDSOR      CO",Groceries,-4.69,Posted
