Date,Description,Original Description,Category,Amount,Status
2022-10-11,"USAA ACCT FUND","USAA ACCT FUND",Category Pending,-300.00,Pending
2022-10-10,"DOLLAR GENERAL #20448","DOLLAR GENERAL #20448",Category Pending,-23.50,Pending
2022-10-09,"Sugar Shack","SQ *SUGAR SHACK          ESTES PARK   CO",Groceries,-31.47,Posted
2022-10-09,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-35.72,Posted
2022-10-08,"USAA Insurance Payment","USAA INSURANCE PAYMENT   800-531-8111 TX",Financial,-257.56,Posted
2022-10-08,"Walmart","WM SUPERCENTER #4599     TIMNATH      CO",Shopping,-286.97,Posted
2022-10-07,"Gitlab Inc","GITLAB INC.              HTTPSABOUT.GICA",Electronics & Software,-10.00,Posted
2022-10-03,"JetBrains","JetBrains Americas INC   165-05772345 CA",Electronics & Software,-15.00,Posted
2022-10-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-17.67,Posted
2022-10-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-124.71,Posted
2022-09-30,"Gitlab Inc","GITLAB INC.              HTTPSABOUT.GICA",Electronics & Software,-10.00,Posted
2022-09-29,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,204.00,Posted
2022-09-28,"JetBrains","JetBrains Americas INC   165-05772345 CA",Electronics & Software,-249.00,Posted
2022-09-27,"Corrective Credit","CORRECTIVE CREDIT                 CREDIT",Shopping,4.27,Posted
2022-09-25,"Target","TARGET        00024034   FORT COLLINS CO",Shopping,-186.76,Posted
2022-09-23,"Instacart","INSTACART                888-246-7822 CA",Groceries,-69.58,Posted
2022-09-23,"USAA Account Funding","USAA ACCT FUND           800-832-3724 TX",Transfer,-100.00,Posted
2022-09-22,"ExpressToll","E 470 EXPRESS TOLLS      303-5373470  CO",Auto & Transport,-63.85,Posted
2022-09-22,"Summitviews","PAYPAL *SUMMITVIEWS      402-935-7733 CA",Gifts & Donations,-542.60,Posted
2022-09-22,"Walmart","WAL-MART #4599           TIMNATH      CO",Shopping,-76.53,Posted
2022-09-22,"VA Health Resource Center","VA-HRC                   866-400-1238 KS",Health & Fitness,-147.88,Posted
2022-09-20,"Town of Severance","TOWN OF SEVERANCE        970-686-1218 CO",Utilities,-220.70,Posted
2022-09-19,"Poudre Valley Rea Inc","POUDRE VALLEY REA INC    PVREA.SMARTHUCO",Utilities,-247.90,Posted
2022-09-16,"Marriage and Family M","SQ *MARRIAGE AND FAMILY MWindsor      CO",Doctor,-140.00,Posted
2022-09-15,"Amazon","AMZN Mktp US*1M5LM2N70   Amzn.com/billWA",Shopping,-28.63,Posted
2022-09-14,"Hearth","HEARTH                   WINDSOR      CO",Restaurants,-45.00,Posted
2022-09-14,"Silk Sonder","SILK + SONDER            HTTPSWWW.SILKDE",Business Services,-63.94,Posted
2022-09-13,"Marriage and Family M","SQ *MARRIAGE AND FAMILY MWindsor      CO",Doctor,-200.00,Posted
2022-09-13,"USAA Account Funding","USAA ACCT FUND           800-832-3724 TX",Transfer,-200.00,Posted
2022-09-10,"Target","TARGET        00024034   FORT COLLINS CO",Shopping,-227.87,Posted
2022-09-10,"Bask Crystal","BASK-CRYSTAL             FORT COLLINS CO",Hair,-75.00,Posted
2022-09-09,"King Soopers","KING SOOPERS #0104       WINDSOR      CO",Groceries,-24.55,Posted
2022-09-05,"Walmart","WALMART.COM AA           800-966-6546 AR",Shopping,-81.53,Posted
2022-09-02,"Interest On Cash Advances","Interest on Cash Advances",Finance Charge,-15.60,Posted
2022-09-02,"Interest on Purchases","Interest on Purchases",Finance Charge,-96.80,Posted
2022-08-30,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Transfer,159.00,Posted
