Date,Description,Original Description,Category,Amount,Status
2022-02-15,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-75.00,Posted
2022-02-14,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-150.00,Posted
2022-01-19,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-40.00,Posted
2022-01-18,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2022-01-03,"USAA Loan Payment","USAA LOAN PAYMENT",Transfer,-234.72,Posted
2022-01-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-12-29,"Interest Paid","INTEREST PAID",Interest Income,0.02,Posted
2021-12-20,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-1000.00,Posted
2021-12-20,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-12-14,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2021-12-09,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2021-12-07,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2021-12-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,500.00,Posted
