Date,Description,Original Description,Category,Amount,Status
2022-10-13,"PARKMOBILE                       101322","PARKMOBILE                       101322",Category Pending,-3.26,Pending
2022-10-13,"COCA COLA JOHNSTOWN              101322","COCA COLA JOHNSTOWN              101322",Category Pending,-4.00,Pending
2022-10-13,"PARKMOBILE                       101322","PARKMOBILE                       101322",Category Pending,-3.26,Pending
2022-10-13,"CONOCO - 74 XPRESS               101322","CONOCO - 74 XPRESS               101322",Category Pending,-52.57,Pending
2022-10-13,"CSU PARKING                      101322","CSU PARKING                      101322",Category Pending,-11.00,Pending
2022-10-13,"THAI STATION RESTAUR             101322","THAI STATION RESTAUR             101322",Category Pending,-42.45,Pending
2022-10-14,"GOOGLE *Google Stora             101422","GOOGLE *Google Stora             101422",Category Pending,-9.99,Pending
2022-10-14,"CITIBANK, N.A./CITIB             101422","CITIBANK, N.A./CITIB             101422",Category Pending,-124.00,Posted
2022-10-14,"PP*ADOBE INC  402935             101422","PP*ADOBE INC  402935             101422",Category Pending,-29.99,Pending
2022-10-14,"DOLLAR GENERAL #2044             101322","DOLLAR GENERAL #2044             101322",Category Pending,-4.53,Posted
2022-10-13,"Safeway","SAFEWAY #2918            GREELEY      CO",Groceries,-123.76,Posted
2022-10-13,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-17.08,Posted
2022-10-13,"Apple","APPLE.COM/BILL           408-974-1010 CA",Entertainment,-15.99,Posted
2022-10-13,"Hackmd Io Httpshackmd Ide","HACKMD.IO                HTTPSHACKMD.IDE",Electronics & Software,-4.00,Posted
2022-10-13,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-3.23,Posted
2022-10-13,"Redbock Direct Deposit","REDBOCK          DIRECT DEP ***********8Q8J",Paycheck,4331.94,Posted
2022-10-12,"Walmart","Wal-Mart Super Center    TIMNATH      CO",Shopping,-20.12,Posted
2022-10-12,"Apple","APPLE.COM/BILL           800-275-2273 CA",Entertainment,-7.26,Posted
2022-10-12,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-1.76,Posted
2022-10-12,"Big D","BIG D #511000 35TH AVE   GREELEY      CO",Groceries,-0.53,Posted
2022-10-12,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,150.00,Posted
2022-10-11,"Shell","SHELL SERVICE STATION    GREELEY      CO",Gas,-24.26,Posted
2022-10-11,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-23.47,Posted
2022-10-11,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,-20.00,Posted
2022-10-11,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-12.70,Posted
2022-10-11,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-11.00,Posted
2022-10-11,"McDonald's","MCDONALD'S F36634        GREELEY      CO",Fast Food,-10.04,Posted
2022-10-11,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-9.99,Posted
2022-10-11,"Chick-fil-A","CHICK-FIL-A #03676       TIMNATH      CO",Fast Food,-9.28,Posted
2022-10-11,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-9.00,Posted
2022-10-11,"Sugar Shack","SQ *SUGAR SHACK          ESTES PARK   CO",Groceries,-8.34,Posted
2022-10-11,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-7.99,Posted
2022-10-11,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-7.00,Posted
2022-10-11,"King Soopers","KING SOOPERS #01 1520 MAIWINDSOR      CO",Groceries,-4.69,Posted
2022-10-11,"Estescarparktownhalllot","ESTESCARPARKTOWNHALLLOT  ESTES PARK   CO",Parking,-4.00,Posted
2022-10-11,"Estescarparktownhalllot","ESTESCARPARKTOWNHALLLOT  ESTES PARK   CO",Parking,-4.00,Posted
2022-10-11,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-3.17,Posted
2022-10-11,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-3.15,Posted
2022-10-11,"Csu Lake Street Market","CSU LAKE STREET MARKET   FORT COLLINS CO",Fast Food,-2.36,Posted
2022-10-07,"Walmart","Wal-Mart Super Center4599TIMNATH      CO",Shopping,-53.99,Posted
2022-10-07,"Loaf 'N Jug","LOAF N JUG # 081 1601 S CFORT COLLINS CO",Gas,-32.67,Posted
2022-10-07,"Transfer to Apple Pay","APPLE CASH               1INFINITELOOPCA",Transfer,-10.00,Posted
2022-10-07,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-4.26,Posted
2022-10-06,"Safeway Fuel","SAFEWAY FUEL2666         GREELEY      CO",Gas,-50.75,Posted
2022-10-06,"Hearth","HEARTH                   WINDSOR      CO",Restaurants,-27.44,Posted
2022-10-06,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-11.12,Posted
2022-10-06,"Apple","APPLE.COM/BILL           800-275-2273 CA",Entertainment,-10.37,Posted
2022-10-06,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-9.00,Posted
2022-10-06,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-3.17,Posted
2022-10-05,"Mr. Cooper","Nationstar dba   Mr Cooper  ***********8302",Mortgage Payment,-1879.35,Posted
2022-10-05,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,-30.00,Posted
2022-10-05,"Taco Bell","TACO BELL 033859         GREELEY      CO",Fast Food,-13.00,Posted
2022-10-05,"Freddy's Frozen Custard & Steakburgers","FREDDY'S 16-0008         WINDSOR      CO",Fast Food,-11.95,Posted
2022-10-05,"Shell","SHELL OIL 57445013808    JOHNSTOWN    CO",Gas,-11.54,Posted
2022-10-05,"Spotify","SPOTIFY                  877-778-1161 NY",Music,-10.67,Posted
2022-10-05,"Safeway","SAFEWAY #2666            GREELEY      CO",Groceries,-6.56,Posted
2022-10-05,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-5.00,Posted
2022-10-05,"Apple","APPLE.COM/BILL           866-712-7753 CA",Entertainment,-4.99,Posted
2022-10-05,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-05,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-05,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.26,Posted
2022-10-04,"Credit One Bank","Credit One Bank  Payment    ***********8988",Transfer,-42.00,Posted
2022-10-04,"King Soopers","KING SOOP 6918 10TH ST   GREELEY      CO",Groceries,-177.50,Posted
2022-10-04,"Scotch Pine Liquor Inc","SCOTCH PINE LIQUOR, INC. SEVERANCE    CO",Alcohol & Bars,-19.03,Posted
2022-10-04,"Shell","SHELL SERVICE STATION    JOHNSTOWN    CO",Gas,-14.65,Posted
2022-10-04,"King Soopers","KING SOOP 6918 W 10TH    GREELEY      CO",Groceries,-12.00,Posted
2022-10-04,"Amazon","AMZN Mktp US*1497V7QR1   AMZN.COM/BILLWA",Shopping,-9.79,Posted
2022-10-04,"Hulu","HLU*Hulu 280249445888-U  HULU.COM/BILLCA",Television,-7.52,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-6.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-3.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.26,Posted
2022-10-04,"ParkMobile","PARKMOBILE               770-818-9036 GA",Parking,-2.06,Posted
2022-10-03,"AT&T","ATT              Payment    ***********PAYS",Utilities,-241.05,Posted
2022-10-03,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********Y4JU",Credit Card Payment,-200.00,Posted
2022-10-03,"Capital One Credit Card","CAPITAL ONE      MOBILE PMT ***********PHBD",Credit Card Payment,-100.00,Posted
2022-10-03,"Walmart","WM SUPERCENTER #4599Wal-MTIMNATH      CO",Shopping,-64.29,Posted
2022-10-03,"Pet Supplies Plus","Pet Supplies Plus 4063   FT. COLLINS  CO",Pet Food & Supplies,-63.89,Posted
2022-10-03,"Bruces Tavern","BRUCES TAVERN            SEVERANCE    CO",Alcohol & Bars,-61.09,Posted
2022-10-03,"Safeway","SAFEWAY #1552            FORT COLLINS CO",Groceries,-58.06,Posted
2022-10-03,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-32.76,Posted
2022-10-03,"SiriusXM","SXM*SIRIUSXM.COM/ACCT    888-635-5144 NY",Music,-29.82,Posted
2022-10-03,"Dollar General","DOLLAR GENERAL #20448DG 2SEVERANCE    CO",Shopping,-28.31,Posted
2022-10-03,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-27.48,Posted
