Date,Description,Original Description,Category,Amount,Status
2022-05-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-1700.00,Posted
2022-05-02,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2022-05-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,2200.00,Posted
2022-03-15,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-10.00,Posted
2021-10-19,"Corrective Payment","CORRECTIVE PAYMENT",Transfer,10.00,Posted
2021-10-19,"Corrective Misc","CORRECTIVE MISC",Uncategorized,1.03,Posted
2021-10-07,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-1500.00,Posted
2021-10-07,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT",Credit Card Payment,-400.00,Posted
2021-10-07,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-144.00,Posted
2021-10-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-700.00,Posted
2021-10-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-266.00,Posted
2021-10-05,"Zelle Transfer To Corina Yanes","Zelle: Corina Yanes",Transfer,-256.00,Posted
2021-10-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-10-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-10-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-2000.00,Posted
2021-10-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-1000.00,Posted
2021-10-04,"Currency Cloud","Currency Cloud   0000004    ***********",Income,6666.66,Posted
2021-09-02,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT",Credit Card Payment,-103.95,Posted
2021-09-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-6000.00,Posted
2021-09-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-2000.00,Posted
2021-09-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-230.00,Posted
2021-08-31,"Currency Cloud","Currency Cloud   0000003    ***********",Income,8333.33,Posted
2021-08-30,"Interest","INTEREST PAID",Interest Income,0.01,Posted
2021-08-05,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT",Credit Card Payment,-5000.00,Posted
2021-08-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-333.00,Posted
2021-08-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-265.00,Posted
2021-08-05,"USAA Loan Payment","USAA LOAN PAYMENT",Transfer,-234.72,Posted
2021-08-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2021-08-02,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-2000.00,Posted
2021-07-30,"Currency Cloud","Currency Cloud   0000001    ***********",Income,8333.33,Posted
2021-07-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-7753.33,Posted
2021-07-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2021-07-01,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2021-07-01,"Currency Cloud June","Currency Cloud   june 2021  ***********",Student Loan,8333.33,Posted
2021-06-09,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT",Credit Card Payment,-3500.00,Posted
2021-06-09,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-2361.00,Posted
2021-06-09,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-1100.00,Posted
2021-06-09,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2021-06-09,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-335.34,Posted
2021-06-08,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-06-08,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2021-06-08,"Wire Transfer","WIRE IN",Transfer,8101.50,Posted
2021-05-27,"Interest","INTEREST PAID",Interest Income,0.01,Posted
2021-05-20,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2021-05-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-05-10,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2021-05-10,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-05-07,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT",Credit Card Payment,-7000.00,Posted
2021-05-07,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2021-05-06,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-550.00,Posted
2021-05-05,"Currency Cloud April","Currency Cloud   April 2021 ***********",Income,8064.51,Posted
2021-05-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-700.00,Posted
2021-04-30,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,300.00,Posted
2021-04-29,"Interest","INTEREST PAID",Interest Income,0.02,Posted
2021-04-29,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-55.00,Posted
2021-04-26,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-245.00,Posted
2021-04-26,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2021-04-22,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2021-04-16,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-200.00,Posted
2021-04-16,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,225.00,Posted
2021-04-14,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-325.00,Posted
2021-04-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2021-04-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2021-04-12,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
