Date,Description,Original Description,Category,Amount,Status
2022-10-03,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********7341",Credit Card Payment,-40.00,Posted
2022-09-30,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,40.00,Posted
2022-09-06,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********2516",Credit Card Payment,-100.00,Posted
2022-09-06,"Transfer to Venmo","VENMO            PAYMENT    ***********7998",Transfer,-6.00,Posted
2022-09-06,"Transfer to Venmo","VENMO            PAYMENT    ***********5178",Transfer,-6.00,Posted
2022-09-06,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,10.00,Posted
2022-09-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-08-24,"Transfer to Venmo","VENMO            PAYMENT    ***********6334",Transfer,-20.00,Posted
2022-08-22,"Transfer to Venmo","VENMO            PAYMENT    ***********2921",Transfer,-180.00,Posted
2022-08-22,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2022-08-11,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-400.00,Posted
2022-08-10,"Tokyo Joe's","TOKYO JOES FORT COLLIN   970-4496991  CO",Fast Food,-16.54,Posted
2022-08-09,"Sprouts Farmers Market","SPROUTS FARMERS MKT#316  FORT COLLINS CO",Groceries,-102.27,Posted
2022-08-09,"Target","TARGET T- 2936 Council   FORT COLLINS CO",Shopping,-48.70,Posted
2022-08-08,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********8220",Credit Card Payment,-56.00,Posted
2022-08-08,"Walmart","WAL-MART #45994500 WEITZETIMNATH      CO",Shopping,-215.53,Posted
2022-08-08,"Wendy's","WENDY'S #11966           TIMNATH      CO",Fast Food,-9.57,Posted
2022-08-05,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-1.08,Posted
2022-08-04,"Walmart","WM SUPERCENTER #Wal-Mart TIMNATH      CO",Shopping,-240.96,Posted
2022-08-04,"Panera Bread","PANERA BREAD #202442 K   FT. COLLINS  CO",Fast Food,-25.54,Posted
2022-08-03,"Costco","COSTCO WHSE #1178        TIMNATH      CO",Shopping,-184.77,Posted
2022-07-28,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,1300.00,Posted
2022-07-21,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-3.75,Posted
2022-07-15,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********9936",Credit Card Payment,-200.00,Posted
2022-07-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,25.00,Posted
2022-07-11,"NSF FEE - ITEM RETURNED - ACH - PAYMENT FOR AMZ STORECARD","NSF FEE - ITEM RETURNED - ACH - PAYMENT FOR AMZ STORECARD",Credit Card Payment,-29.00,Posted
2022-07-11,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-11.85,Posted
2022-07-11,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2022-07-11,"Non-Sufficient Funds Check Paid","NSF REV CHECK PAID",Check,200.00,Posted
2022-07-08,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********9432",Credit Card Payment,-200.00,Posted
2022-07-05,"Transfer to Venmo","VENMO            PAYMENT    ***********5601",Transfer,-70.00,Posted
2022-07-05,"Torchys Collins","044 TORCHYS FT COLLINS   FORT COLLINS CO",Restaurants,-8.28,Posted
2022-07-05,"Nothing Bundt Cakes","TST* NOTHING BUNDT CAKES FORT COLLINS CO",Food & Dining,-5.19,Posted
2022-07-05,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,60.00,Posted
2022-07-01,"E Foothills Pkfort","L434084215 E FOOTHILLS PKFORT COLLINS CO",Cash,-63.25,Posted
2022-07-01,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.25,Posted
2022-07-01,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-06-30,"Chili Thai","Chili Thai Windsor       WINDSOR      CO",Restaurants,-62.94,Posted
2022-06-30,"Smoothie King","SMOOTHIE KING - 1886     FORT COLLINS CO",Fast Food,-11.94,Posted
2022-06-29,"Loaf 'N Jug","LOAF N JUG #08481201 MAINWINDSOR      CO",Gas,-8.33,Posted
2022-06-29,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-3.75,Posted
2022-06-28,"Panera Bread","PANERA BREAD #202433 K   FORT COLLINS CO",Fast Food,-16.54,Posted
2022-06-27,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-06-15,"Target","TARGET T- 2936 Council   FORT COLLINS CO",Shopping,-296.02,Posted
2022-06-15,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,300.00,Posted
2022-06-06,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-300.00,Posted
2022-06-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,300.00,Posted
2022-05-25,"Wendy's","WENDY'S #11966                   052422",Fast Food,-12.14,Posted
2022-05-24,"Panera Bread","PANERA BREAD #202433             052322",Fast Food,-13.22,Posted
2022-05-23,"Taco Bell","TACO BELL 033839                 052022",Fast Food,-11.47,Posted
2022-05-23,"Smoothie King","SMOOTHIE KING - 1886             052022",Fast Food,-10.54,Posted
2022-05-19,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********3049",Credit Card Payment,-100.00,Posted
2022-05-18,"Crumbl Cookies","CRUMBL                           051722",Fast Food,-4.59,Posted
2022-05-17,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-05-16,"The Crown Pub","THE CROWN PUB                    051622",Alcohol & Bars,-45.38,Posted
2022-05-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-05-12,"Panera Bread","PANERA BREAD #202433             051122",Fast Food,-28.79,Posted
2022-05-09,"Csu Lake Street Mark","CSU LAKE STREET MARK             050522",Fast Food,-6.74,Posted
2022-05-04,"Panera Bread","PANERA BREAD #202433             050322",Fast Food,-15.90,Posted
2022-05-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,50.00,Posted
2022-04-18,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********9907",Credit Card Payment,-100.00,Posted
2022-04-18,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-03-28,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********9631",Credit Card Payment,-125.00,Posted
2022-03-25,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,125.00,Posted
2022-03-02,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********2585",Credit Card Payment,-100.00,Posted
2022-03-01,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2022-02-28,"Transfer to Venmo","VENMO            PAYMENT    ***********0372",Transfer,-25.00,Posted
2022-02-28,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,25.00,Posted
2022-01-24,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********1257",Credit Card Payment,-200.00,Posted
2022-01-21,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2022-01-14,"Walmart","Wal-Mart Super Cente             011322",Shopping,-60.38,Posted
2022-01-14,"Walmart","WM SUPERC Wal-Mart S             011422",Shopping,-21.12,Posted
2022-01-14,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,15.00,Posted
2022-01-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,70.00,Posted
2022-01-12,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-60.00,Posted
2022-01-12,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-11.46,Posted
2022-01-11,"King Soopers","KING SOOP 2325 S. COLL   FORT COLLINS CO",Groceries,-13.12,Posted
2022-01-10,"Transfer from Venmo","VENMO            CASHOUT    ***********1628",Transfer,75.00,Posted
2022-01-04,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********3902",Credit Card Payment,-200.00,Posted
2022-01-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-12-22,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********2325",Credit Card Payment,-200.00,Posted
2021-12-20,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-12-06,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-12.23,Posted
2021-11-29,"Transfer to Venmo","VENMO            PAYMENT    ***********7216",Transfer,-26.00,Posted
2021-11-29,"Mary's Mountain Cookies","MARY'S MOUNTAIN COOKIES  FORT COLLINS CO",Food & Dining,-7.31,Posted
2021-11-29,"Transfer from Venmo","VENMO            CASHOUT    ***********6592",Transfer,9.00,Posted
2021-11-22,"Costco","COSTCO WHSE #1178        TIMNATH      CO",Shopping,-6.37,Posted
2021-11-18,"Panda Express","PANDA EXPRESS #3403      TIMNATH      CO",Fast Food,-16.58,Posted
2021-11-15,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********5898",Credit Card Payment,-500.00,Posted
2021-11-15,"USAA Credit Card Payment","USAA CREDIT CARD PAYMENT",Credit Card Payment,-140.99,Posted
2021-11-15,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,500.00,Posted
2021-11-15,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,150.00,Posted
2021-11-10,"Quiznos","QUIZNOS #5437            WINDSOR      CO",Fast Food,-11.36,Posted
2021-11-05,"Mag In The Flesh","13 MAG IN THE FLESH      AUSTIN       TX",Business Services,-245.70,Posted
2021-11-03,"Crumbl Cookies","CRUMBL                   OREM         UT",Fast Food,-9.35,Posted
2021-11-02,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-9.75,Posted
2021-11-01,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********1554",Credit Card Payment,-100.00,Posted
2021-11-01,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-3.65,Posted
2021-11-01,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2021-10-29,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,50.00,Posted
2021-10-26,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-12.23,Posted
2021-10-26,"Walmart","Wal-Mart Super Center    TIMNATH      CO",Shopping,-6.95,Posted
2021-10-22,"McDonald's","MCDONALD'S F13510        WINDSOR      CO",Fast Food,-5.00,Posted
2021-10-20,"Smoothie King","SMOOTHIE KING - 1886     FORT COLLINS CO",Fast Food,-8.40,Posted
2021-10-18,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,50.00,Posted
2021-10-14,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-3.65,Posted
2021-10-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-20.00,Posted
2021-10-12,"Taco Bell","TACO BELL 033839         FORT COLLINS CO",Fast Food,-10.15,Posted
